
matrixupdate 0.255355 matrix 0.245750, up: 0.676825, left 2.861136, right 0.015715, downright 0.278687, down 0.045172, downleft 0.014064

matrixupdate 0.265092 matrix 0.255355, up: 0.699177, left 2.911145, right 0.016710, downright 0.290026, down 0.047826, downleft 0.014953

matrixupdate 0.274961 matrix 0.265092, up: 0.721661, left 2.960756, right 0.017742, downright 0.301542, down 0.050566, downleft 0.015875

matrixupdate 0.284957 matrix 0.274961, up: 0.744270, left 3.009972, right 0.018811, downright 0.313230, down 0.053392, downleft 0.016832

matrixupdate 0.295078 matrix 0.284957, up: 0.766997, left 3.058797, right 0.019919, downright 0.325087, down 0.056305, downleft 0.017824

matrixupdate 0.305321 matrix 0.295078, up: 0.789834, left 3.107234, right 0.021064, downright 0.337111, down 0.059306, downleft 0.018851

matrixupdate 0.315684 matrix 0.305321, up: 0.812775, left 3.155287, right 0.022248, downright 0.349298, down 0.062393, downleft 0.019913

matrixupdate 0.326163 matrix 0.315684, up: 0.835813, left 3.202960, right 0.023471, downright 0.361644, down 0.065568, downleft 0.021010

matrixupdate 0.336758 matrix 0.326163, up: 0.858943, left 3.250256, right 0.024733, downright 0.374147, down 0.068831, downleft 0.022144

matrixupdate 0.347464 matrix 0.336758, up: 0.882158, left 3.297179, right 0.026034, downright 0.386804, down 0.072180, downleft 0.023314

matrixupdate 0.358279 matrix 0.347464, up: 0.905452, left 3.343732, right 0.027374, downright 0.399610, down 0.075617, downleft 0.024521

matrixupdate 0.369201 matrix 0.358279, up: 0.928821, left 3.389918, right 0.028754, downright 0.412563, down 0.079141, downleft 0.025764

matrixupdate 0.380228 matrix 0.369201, up: 0.952257, left 3.435742, right 0.030173, downright 0.425660, down 0.082752, downleft 0.027045

matrixupdate 0.391356 matrix 0.380228, up: 0.975757, left 3.481206, right 0.031633, downright 0.438898, down 0.086451, downleft 0.028363

matrixupdate 0.402585 matrix 0.391356, up: 0.999314, left 3.526314, right 0.033133, downright 0.452274, down 0.090236, downleft 0.029719

matrixupdate 0.413910 matrix 0.402585, up: 1.022925, left 3.571070, right 0.034672, downright 0.465784, down 0.094108, downleft 0.031113

matrixupdate 0.425330 matrix 0.413910, up: 1.046584, left 3.615477, right 0.036252, downright 0.479426, down 0.098066, downleft 0.032545

matrixupdate 0.436843 matrix 0.425330, up: 1.070287, left 3.659538, right 0.037873, downright 0.493197, down 0.102111, downleft 0.034015

matrixupdate 0.448446 matrix 0.436843, up: 1.094029, left 3.703257, right 0.039534, downright 0.507094, down 0.106242, downleft 0.035524

matrixupdate 0.460138 matrix 0.448446, up: 1.117807, left 3.746636, right 0.041235, downright 0.521113, down 0.110459, downleft 0.037071

matrixupdate 0.471915 matrix 0.460138, up: 1.141616, left 3.789680, right 0.042977, downright 0.535253, down 0.114761, downleft 0.038658

matrixupdate 0.483776 matrix 0.471915, up: 1.165451, left 3.832392, right 0.044760, downright 0.549510, down 0.119148, downleft 0.040283

matrixupdate 0.495719 matrix 0.483776, up: 1.189310, left 3.874775, right 0.046583, downright 0.563881, down 0.123620, downleft 0.041948

matrixupdate 0.507742 matrix 0.495719, up: 1.213189, left 3.916831, right 0.048447, downright 0.578363, down 0.128176, downleft 0.043652

matrixupdate 0.519842 matrix 0.507742, up: 1.237084, left 3.958565, right 0.050352, downright 0.592955, down 0.132816, downleft 0.045395

matrixupdate 0.532018 matrix 0.519842, up: 1.260991, left 3.999980, right 0.052297, downright 0.607653, down 0.137540, downleft 0.047178

matrixupdate 0.544267 matrix 0.532018, up: 1.284908, left 4.041078, right 0.054284, downright 0.622454, down 0.142347, downleft 0.049001

matrixupdate 0.556588 matrix 0.544267, up: 1.308830, left 4.081864, right 0.056310, downright 0.637356, down 0.147237, downleft 0.050863

matrixupdate 0.568979 matrix 0.556588, up: 1.332756, left 4.122339, right 0.058378, downright 0.652356, down 0.152209, downleft 0.052766

matrixupdate 0.581438 matrix 0.568979, up: 1.356681, left 4.162507, right 0.060486, downright 0.667452, down 0.157262, downleft 0.054708

matrixupdate 0.593962 matrix 0.581438, up: 1.380604, left 4.202372, right 0.062634, downright 0.682642, down 0.162397, downleft 0.056690

matrixupdate 0.606551 matrix 0.593962, up: 1.404521, left 4.241935, right 0.064823, downright 0.697922, down 0.167613, downleft 0.058713

matrixupdate 0.619203 matrix 0.606551, up: 1.428430, left 4.281201, right 0.067053, downright 0.713290, down 0.172909, downleft 0.060775

matrixupdate 0.631915 matrix 0.619203, up: 1.452328, left 4.320172, right 0.069322, downright 0.728744, down 0.178284, downleft 0.062878

matrixupdate 0.644685 matrix 0.631915, up: 1.476213, left 4.358851, right 0.071632, downright 0.744281, down 0.183738, downleft 0.065021

matrixupdate 0.657513 matrix 0.644685, up: 1.500081, left 4.397241, right 0.073982, downright 0.759900, down 0.189271, downleft 0.067204

matrixupdate 0.670397 matrix 0.657513, up: 1.523932, left 4.435345, right 0.076372, downright 0.775597, down 0.194882, downleft 0.069427

matrixupdate 0.683335 matrix 0.670397, up: 1.547763, left 4.473166, right 0.078802, downright 0.791370, down 0.200571, downleft 0.071691

matrixupdate 0.696324 matrix 0.683335, up: 1.571571, left 4.510706, right 0.081271, downright 0.807218, down 0.206336, downleft 0.073995

matrixupdate 0.709365 matrix 0.696324, up: 1.595354, left 4.547969, right 0.083780, downright 0.823138, down 0.212177, downleft 0.076339

matrixupdate 0.722455 matrix 0.709365, up: 1.619111, left 4.584957, right 0.086329, downright 0.839128, down 0.218093, downleft 0.078724

matrixupdate 0.735592 matrix 0.722455, up: 1.642840, left 4.621674, right 0.088917, downright 0.855185, down 0.224085, downleft 0.081149

matrixupdate 0.748776 matrix 0.735592, up: 1.666538, left 4.658121, right 0.091544, downright 0.871308, down 0.230151, downleft 0.083614

matrixupdate 0.762004 matrix 0.748776, up: 1.690204, left 4.694301, right 0.094210, downright 0.887495, down 0.236290, downleft 0.086119

matrixupdate 0.775275 matrix 0.762004, up: 1.713837, left 4.730218, right 0.096915, downright 0.903743, down 0.242503, downleft 0.088664

matrixupdate 0.788588 matrix 0.775275, up: 1.737434, left 4.765873, right 0.099659, downright 0.920050, down 0.248787, downleft 0.091249

matrixupdate 0.801942 matrix 0.788588, up: 1.760994, left 4.801270, right 0.102442, downright 0.936415, down 0.255144, downleft 0.093874

matrixupdate 0.815335 matrix 0.801942, up: 1.784516, left 4.836411, right 0.105262, downright 0.952836, down 0.261571, downleft 0.096540

matrixupdate 0.828765 matrix 0.815335, up: 1.807998, left 4.871298, right 0.108121, downright 0.969310, down 0.268068, downleft 0.099245

matrixupdate 0.842232 matrix 0.828765, up: 1.831439, left 4.905935, right 0.111018, downright 0.985835, down 0.274636, downleft 0.101990

matrixupdate 0.855734 matrix 0.842232, up: 1.854836, left 4.940323, right 0.113952, downright 1.002411, down 0.281272, downleft 0.104775

matrixupdate 0.869270 matrix 0.855734, up: 1.878190, left 4.974465, right 0.116924, downright 1.019035, down 0.287976, downleft 0.107599

matrixupdate 0.882838 matrix 0.869270, up: 1.901499, left 5.008364, right 0.119934, downright 1.035705, down 0.294748, downleft 0.110463

